alg	k	time	ip	f1
H2P	1	56.924030	123775	100.000000
H2P	5	180.309590	443899	99.999753
H2P	10	407.265300	1011641	99.999514
H2P	20	1362.597380	3076215	95.586251
H2P	30	2571.378150	6143789	99.850597
H2P	40	4062.672990	10108841	99.906720
H2P	50	6140.843150	15084005	98.912879
SAH	1	26.823320	45098	100.000000
SAH	5	127.624910	270511	99.992010
SAH	10	342.249720	797941	99.931274
SAH	20	1125.837100	2806593	99.989315
SAH	30	2172.331520	5902631	99.963119
SAH	40	3447.646190	9938059	99.980378
SAH	50	5058.678690	14998904	99.962017
SAP	1	42.647260	88039	100.000000
SAP	5	153.748800	311075	100.000000
SAP	10	354.985180	842766	100.000000
SAP	20	1125.098510	2863797	99.966701
SAP	30	2183.053690	5972685	99.958604
SAP	40	3433.540840	10025710	99.981695
SAP	50	5083.930600	15105564	99.958444
