alg	k	time	ip	f1
H2	1	3177.201260	9076678	100.000000
H2	5	10456.750120	33038440	99.998633
H2	10	20499.740170	61600043	95.244447
H2	20	38398.927860	115308927	93.410697
H2	30	57592.690200	166813443	99.587573
H2	40	74158.955380	216845763	98.729342
H2	50	91323.549490	266002399	95.368161
Simpfer	1	179.454376	225139	100
Simpfer	5	633.434509	1014261	100
Simpfer	10	1672.964966	2381530	100
Simpfer	20	5245.400879	7951042	100
Simpfer	30	12889.316406	16872978	100
Simpfer	40	24584.835938	26742387	100
Simpfer	50	40803.328125	39118399	100
H2P	1	56.924030	123775	100.000000
H2P	5	180.309590	443899	99.999753
H2P	10	407.265300	1011641	99.999514
H2P	20	1362.597380	3076215	95.586251
H2P	30	2571.378150	6143789	99.850597
H2P	40	4062.672990	10108841	99.906720
H2P	50	6140.843150	15084005	98.912879
SAH	1	26.823320	45098	100.000000
SAH	5	127.624910	270511	99.992010
SAH	10	342.249720	797941	99.931274
SAH	20	1125.837100	2806593	99.989315
SAH	30	2172.331520	5902631	99.963119
SAH	40	3447.646190	9938059	99.980378
SAH	50	5058.678690	14998904	99.962017
