alg	k	time	ip	f1
H2P	1	47.627460	63631	88.584655
H2P	5	104.598970	95417	86.368644
H2P	10	177.136930	130074	78.085907
H2P	20	371.335370	220922	73.887832
H2P	30	609.799030	334938	67.793676
H2P	40	917.350380	480587	69.182653
H2P	50	1275.722790	656556	70.649961
SAH	1	7.489210	11048	99.197177
SAH	5	42.760990	60820	98.762467
SAH	10	86.307680	126960	94.839887
SAH	20	196.920590	294501	93.222366
SAH	30	329.087460	484410	91.621881
SAH	40	479.773440	708298	90.274126
SAH	50	671.386390	970303	91.110042
SAP	1	7.657670	11489	98.421912
SAP	5	43.357100	62818	98.288260
SAP	10	85.988850	129332	96.165326
SAP	20	192.802050	295213	89.877328
SAP	30	316.476280	481190	85.494747
SAP	40	466.468580	702382	90.408859
SAP	50	650.823380	963461	91.287511
