alg	k	time	ip	f1
H2	1	143.968110	235512	99.946237
H2	5	512.999280	805535	92.196047
H2	10	934.754960	1459277	89.352305
H2	20	1774.123670	2705683	81.090331
H2	30	2617.251830	3919175	72.502883
H2	40	3491.062560	5114983	74.797249
H2	50	4398.776120	6287811	76.406114
Simpfer	1	38.294750	63955	100
Simpfer	5	208.464615	281814	100
Simpfer	10	532.192810	544911	100
Simpfer	20	1248.006226	1219116	100
Simpfer	30	2414.625244	1988615	100
Simpfer	40	4077.171875	2841916	100
Simpfer	50	6309.545898	3824485	100
H2P	1	43.594360	62760	94.391678
H2P	5	104.352120	94093	87.887579
H2P	10	179.305070	126930	79.891548
H2P	20	373.003500	217493	73.853737
H2P	30	632.912260	334746	67.742833
H2P	40	1008.320690	484601	71.724115
H2P	50	1407.949110	670365	71.246534
SAH	1	8.023420	11811	95.765835
SAH	5	44.227220	60661	97.180104
SAH	10	90.169180	126873	96.924820
SAH	20	204.487130	295340	92.041486
SAH	30	339.820380	485838	88.618682
SAH	40	499.576320	712659	88.420972
SAH	50	697.323400	978205	90.128537
