alg	k	time	ip	f1
H2P	1	0.589720	3625	100.000000
H2P	5	1.206130	8112	100.000000
H2P	10	2.044070	14945	100.000000
H2P	20	4.188180	29272	100.000000
H2P	30	9.415860	61876	100.000000
H2P	40	15.028160	93723	100.000000
H2P	50	22.349590	138504	100.000000
SAH	1	0.109620	236	100.000000
SAH	5	0.235800	1031	100.000000
SAH	10	0.532300	2841	100.000000
SAH	20	1.566450	9109	100.000000
SAH	30	3.866650	24986	100.000000
SAH	40	7.788470	52450	100.000000
SAH	50	13.351690	96194	100.000000
SAP	1	0.121060	287	100.000000
SAP	5	0.348140	1281	100.000000
SAP	10	0.722470	3561	100.000000
SAP	20	2.031960	10827	100.000000
SAP	30	4.975200	27703	100.000000
SAP	40	9.333260	55901	100.000000
SAP	50	16.260300	100217	100.000000
