alg	k	time	ip	f1
H2	1	28.852600	143228	100.000000
H2	5	64.546260	431560	100.000000
H2	10	116.720790	798766	99.661017
H2	20	227.182210	1542832	100.000000
H2	30	337.812490	2282146	98.000000
H2	40	456.731670	3037847	100.000000
H2	50	585.743770	3814592	99.990517
Simpfer	1	1.649350	1306	100
Simpfer	5	2.896620	4605	100
Simpfer	10	5.183700	9289	100
Simpfer	20	11.622780	27427	100
Simpfer	30	25.352131	63545	100
Simpfer	40	45.821491	106267	100
Simpfer	50	76.986511	168346	100
H2P	1	0.589720	3625	100.000000
H2P	5	1.206130	8112	100.000000
H2P	10	2.044070	14945	100.000000
H2P	20	4.188180	29272	100.000000
H2P	30	9.415860	61876	100.000000
H2P	40	15.028160	93723	100.000000
H2P	50	22.349590	138504	100.000000
SAH	1	0.109620	236	100.000000
SAH	5	0.235800	1031	100.000000
SAH	10	0.532300	2841	100.000000
SAH	20	1.566450	9109	100.000000
SAH	30	3.866650	24986	100.000000
SAH	40	7.788470	52450	100.000000
SAH	50	13.351690	96194	100.000000
