alg	k	time	ip	f1
H2P	1	2151.270020	1334756	92.484718
H2P	5	8752.172520	2485759	93.036400
H2P	10	17002.140420	3908109	91.193584
H2P	20	34715.192910	6950553	89.334927
H2P	30	54507.529710	10612564	86.346600
H2P	40	82144.817680	15152669	87.338381
H2P	50	119299.868810	20759170	86.400550
SAH	1	426.835850	924125	99.786325
SAH	5	1426.324050	2713100	97.975861
SAH	10	2452.376950	4681135	95.297690
SAH	20	4742.424680	8784167	94.709038
SAH	30	7826.103000	13789920	91.506373
SAH	40	11864.409580	20125867	92.830903
SAH	50	17384.462930	28106256	91.433959
SAP	1	473.647250	1316543	99.797980
SAP	5	1547.527080	2982871	95.997703
SAP	10	2530.940100	4824663	95.579479
SAP	20	4963.256180	8779555	95.031420
SAP	30	8801.876280	13656721	92.696001
SAP	40	12092.857690	19882390	93.667360
SAP	50	18056.979270	27750874	90.681423
