alg	k	time	ip	f1
Simpfer	1	1982.855713	11844244	100
Simpfer	5	8773.805664	43096260	100
Simpfer	10	20885.931641	74780606	100
Simpfer	20	41969.429688	127638221	100
Simpfer	30	73072.429688	176407763	100
Simpfer	40	111795.648438	224895620	100
Simpfer	50	158404.171875	273903297	100
H2P	1	2151.270020	1334756	92.484718
H2P	5	8752.172520	2485759	93.036400
H2P	10	17002.140420	3908109	91.193584
H2P	20	34715.192910	6950553	89.334927
H2P	30	54507.529710	10612564	86.346600
H2P	40	82144.817680	15152669	87.338381
H2P	50	119299.868810	20759170	86.400550
SAH	1	426.835850	924125	99.786325
SAH	5	1426.324050	2713100	97.975861
SAH	10	2452.376950	4681135	95.297690
SAH	20	4742.424680	8784167	94.709038
SAH	30	7826.103000	13789920	91.506373
SAH	40	11864.409580	20125867	92.830903
SAH	50	17384.462930	28106256	91.433959
