alg	k	time	ip	f1
H2P	1	4.873960	26684	100.000000
H2P	5	7.775750	45524	100.000000
H2P	10	12.769950	72682	99.712644
H2P	20	24.925810	131828	98.479218
H2P	30	40.065980	206757	99.645553
H2P	40	63.145620	307184	95.997234
H2P	50	96.923690	447955	97.620248
SAH	1	1.095530	2548	100.000000
SAH	5	2.643850	10978	100.000000
SAH	10	5.237030	25919	100.000000
SAH	20	12.851540	70279	100.000000
SAH	30	24.685120	138322	99.941691
SAH	40	41.329850	232496	99.988100
SAH	50	65.138560	356643	99.837556
SAP	1	1.266010	3067	100.000000
SAP	5	3.204110	13065	100.000000
SAP	10	6.650360	30413	100.000000
SAP	20	15.795600	76900	99.973298
SAP	30	29.217610	144755	99.989501
SAP	40	47.492680	239668	99.988101
SAP	50	72.365490	365849	99.966876
